Metric Name,SQL Statement,Solution KM Note,Solution for the issue,Application Code,Issue Summary,Issue Description,Issue Severity,Product to raise SR if help needed,Sr Component,Sr Sub Component,Scheduling,Scheduling Details,Business Flow,Business Impact,Prod Family,Prod Area
ME$EBS_HCM_HR_ENROLLMENT_RATES_OVERRIDDEN,"Select pen.person_id person_id, 
pl.name name, 
pen.prtt_enrt_rslt_id prtt_enrt_rslt_id, 
pen.effective_start_date effective_start_date, 
pen.effective_end_date effective_end_date
from ben_prtt_enrt_rslt_f pen, per_all_people_f pap, ben_pl_f pl, ben_prtt_rt_val prv
where prv.rt_ovridn_flag = 'Y' 
and prv.rt_ovridn_thru_dt is null 
and pen.person_id = pap.person_id 
and pen.pl_id = pl.pl_id 
and pen.prtt_enrt_rslt_id = prv.prtt_enrt_rslt_id 
and sysdate between pap.effective_start_date and pap.effective_end_date 
and sysdate between pl.effective_start_date and pl.effective_end_date 
and rownum<100
order by 1",2430214.1,"SYMPTOM:   Rate override will not end 

CAUSE:          Enrollment rate overrides exist where no Thru date value is specified

SOLUTION:   If the Thru Date field is left blank then the system will use the enrollment override data until the end of time, else enter a Thru Date",BEN,Benefits Enrollment rate overrides exist where no Thru date value is specified.,There are enrollment rate overrrides which have no override 'Thru' date value specified.,2,Oracle Advanced Benefits,OAB,ENROLL,WEEK,SAT,Benefits to Payroll,"Rate override will not end. The rate used to calculate the benefit is incorrect, generating incorrect payments.",EBS HCM,EBS - HR
ME$EBS_HCM_HR_ENROLLMENTS_OVERRIDDEN,"Select pen.person_id person_id, 
pl.name name, 
pen.prtt_enrt_rslt_id prtt_enrt_rslt_id, 
pen.effective_start_date effective_start_date, 
pen.effective_end_date effective_end_date
from ben_prtt_enrt_rslt_f pen, per_all_people_f pap, ben_pl_f pl 
where enrt_ovridn_flag = 'Y' 
and enrt_ovrid_thru_dt is null 
and pen.person_id = pap.person_id 
and pen.pl_id = pl.pl_id 
and sysdate between pap.effective_start_date 
and pap.effective_end_date 
and sysdate between pl.effective_start_date 
and pl.effective_end_date
and rownum<100
order by 1
",2430214.1,"SYMPTOM:   Enrollment override will not end

CAUSE:     There are enrollments overridden and have no Override Thru Date.

SOLUTION:

Overrides should have an associated Thru Date in order to not be a permanent override. 
As part of open enrollment planning - overrides should be re-evaluated each year. 
So in seeing the list of overrides through the end of the current year - an administrator can make the decision to continue any overrides into the next year by adjusting the thru date forward to the end of the following year (when it will be evaluated again).

Pursuant to the above statements, here are some Troubleshooting Steps:
1. Run Benefits Analyzer for person ( Note 2025944.1 - EBS Benefits Analyzer )
2. Go to Person/Enrollment Information > Person Details to review the impacted employee.
3. Go to Person/Enrollment Information > Enrollment Result Date Details and review the column 'ENROLLFLAG'. Any rows marked with 'Y' have overrides.

4. Now in the PUI Forms, Navigate to People > Total Comp Enrollment > Benefits Enrollment > Enrollment Override.
5. Query the employee from the Benefits Analyzer.
6. Select the Enrollment row which has the ""Override"" check box marked.
7. Enter a valid date in the 'Thru' field under the Override tab and save your changes.",BEN,Benefits Enrollment coverage overrides exist where no Thru date value is specified,There are enrollments overridden that have no override Thru date value provided.,2,Oracle Advanced Benefits,OAB,ENROLL,WEEK,SAT,Benefits to Payroll,"Enrollment override will not end.  The rate used to calculate the benefit is incorrect, generating incorrect payments.",EBS HCM,EBS - HR
ME$EBS_HCM_HR_INVALID_ENROLLMENT_RATE_ROWS,"SELECT pen.person_id person_id, prv.prtt_enrt_rslt_id prtt_enrt_rslt_id, pen.prtt_enrt_rslt_stat_cd prtt_enrt_rslt_stat_cd, prtt_rt_val_id prtt_rt_val_id, prv.rt_strt_dt rt_strt_dt, prv.rt_end_dt rt_end_dt
FROM ben_prtt_enrt_rslt_f pen,
     ben_prtt_rt_val prv
WHERE pen.prtt_enrt_rslt_id = prv.prtt_enrt_rslt_id
  AND prtt_enrt_rslt_stat_cd IN ('VOIDD','BCKDT')
  AND prtt_rt_val_stat_cd IS NULL
and rownum<100
order by 1

",2430224.1,"SYMPTOM:   Enrollment rate rows exists 

CAUSE:     Enrollment voided with the corresponding Enrollment rates are still valid

SOLUTION:  This will require a data fix in order to address the issue. 

If you would like to correct this, please update the SR and Support will engage appropriately.",BEN,Benefits Enrollment rate rows exists where Enrollment results are Voided or Backed Out,There are Enrollment rate rows where the corresponding Enrollment results are either Voided or Backed Out,2,Oracle Advanced Benefits,OAB,DFLT_ENRLMT,WEEK,SAT,Benefits to Payroll,"Invalid Enrollment Rate records cause generic error to occur for various Benefit actions, causing inability to calculate the benefits.",EBS HCM,EBS - HR
ME$EBS_MFG_OM_INACTIVE_EXPIRED_PRICING_ENTITY,"select a.name name, list_type_code list_type_code
from qp_list_headers_tl a, qp_list_headers_b b
where a.list_header_id = b.list_header_id
and b.active_flag = 'Y'
and nvl(b.end_date_active, sysdate+1) < sysdate
and rownum < 2",2352619.1,"SYMPTOM: Expired Price Lists with Active Flags still enabled will impact performance.

CAUSE: One may want to evaluate each returned Pricing Entity manually to determine why they have Expired but are still Active.  Any Expired Pricing Entities should be set to Inactive.  Expired Price Lists with Active Flags still enabled will impact performance.

SOLUTION:   Go into Responsibility: Oracle Pricing Manager and uncheck the ""active"" checkbox on the header record then save.

If the list_type_code = 'PRL', this is a price list. Please execute the following steps:
     Navigate to: Price Lists > Price List Setup
     Query the price list by name
     Uncheck the active checkbox on the header record.
     Save.

For other list_type_code values, please execute the following steps:
     Navigate to: Modifier > Modifier Setup
     Query the modifier
     Uncheck the active checkbox on the header record.
     Save.",QP,Expired Pricing Entity(s) exist.,"One transaction was returned but more could exist. Even though it is expired, it is active and will impact performance.",2,Oracle Advanced Pricing,PRICENGINE,API,DAY,1,O2C: Order Management,"Expired Price Lists with Acive Flags still enabled will impact performance.

One may want to evaluate each returned Pricing Entity manually to determine why they have Expired but are still Active.  Any Expired Pricing Enties should be set to Inactive to increase Pricing performance.",EBS MFG,EBS - Order Management
ME$EBS_MFG_VCP_PROFILE_SHARE_PARTITION,"select value value from
(SELECT FND_PROFILE.VALUE('MSC_SHARE_PARTITIONS') Value FROM DUAL
WHERE FND_PROFILE.VALUE('MSC_SHARE_PARTITIONS') = 'Y')",2433538.1,"Symptom
You are experiencing ORA errors in one or more of the following programs:

""MSCANAPP: Analyze Plan Partition"" fails with:
FDPSTP failed due to ORA-20000: WO_SUB_COMP_999999 invalid partition name

OR

""MSCCRPAR: Create APS Partitions"" fails with:
ORA-02149: Specified partition does not exist / ORA-14074: partition bound must collate higher than that of the last partition

OR

""MSCSDW: Snapshot Delete Worker"" fails with:
ORA-02149: Specified partition does not exist

Cause
The Profile Option MSC: Share Plan Partitions is set to Yes.  In addition, using MSC: Share Plan Partitions = Yes can cause performance issues and requires that you perform steps to convert to No before you perform any volume testing or go-live. The conversion requires purging all plans from the system.

Solution
Please see solution in My Oracle Support note 2158166.1 MSCANAPP: Analyze Plan Partition Errors ORA-20000 or MSCCRPAR: Create APS Partitions Errors ORA-02149 ORA-14074 or MSCSDW: Snapshot Delete Worker Errors ORA-02149",MSC,MSCANAPP ORA-20000 or MSCCRPAR ORA-02149 ORA-014074 or MSCSDW ORA-02149,MSCANAPP Errors ORA-20000 or MSCCRPAR Errors ORA-02149/ORA-14074 or MSCSDW ORA-02149,2,Oracle Advanced Supply Chain Planning,COLLECTIONS,PART,DAY,1,Manufacturing Planning and Forecasting / Demand to Build / Forecast to Plan,"Experience ORA errors in one or more of the following programs:

""MSCANAPP: Analyze Plan Partition"" fails with:
FDPSTP failed due to ORA-20000: WO_SUB_COMP_999999 invalid partition name

OR

""MSCCRPAR: Create APS Partitions"" fails with:
ORA-02149: Specified partition does not exist / ORA-14074: partition bound must collate higher than that of the last partition

OR

""MSCSDW: Snapshot Delete Worker"" fails with:
ORA-02149: Specified partition does not exist

As a result, cannot run the plan and/or create new partitions",EBS MFG,EBS - Value Chain Planning
ME$EBS_MFG_VCP_MISSING_0_PARTITION,"select table_name table_name, plan_id_flag plan_id_flag from (select b.table_name table_name, nvl(plan_id_flag,'N') plan_id_flag
From MSC_ODS_TABLE_V B, DBA_PART_TABLES ptab
WHERE b.PARTITION_TYPE='R'
and b.instance_id_flag in ('Y')
and b.table_name = ptab.table_name
and ptab.owner='MSC'
AND NOT EXISTS (select 1
FROM all_tab_partitions atp
WHERE atp.table_name = b.table_name AND
atp.table_owner = 'MSC' AND
atp.partition_name = substr(b.table_name, 5) || '_0'))",2435728.1,"Symptom
Trying to create the instance partition, MSCCRPAR module: Create APS Partitions errors with the following:
ORA-14080: partition cannot be split along the specified high bound

Cause
What this sensor found is that this instance is missing several _0 partitions partitions for the base ASCP partitioned tables.  

Solution
The solution requires the customer to follow My Oracle Support note 1533685.1 MSCCRPAR Create APS Partitions ORA-14080 Partition Cannot be Split Along the Specified High Bound.

Additionally the customer may require Oracle Support assistance.",MSC,MSCCRPAR module: Create APS Partitions errors with ORA-14080 / ORA-02149 ,"When running ""MSCCRPAR module: Create APS Partitions"" it errors with:
ORA-14080 and/or ORA-02149",2,Oracle Advanced Supply Chain Planning,COLLECTIONS,PART,WEEK,SAT,Manufacturing Planning and Forecasting / Demand to Build / Forecast to Plan,"Unable to create new Plan or Instance Partitions 

Experience the following errors when running MSCCRPAR module: Create APS Partitions:

ORA-14080: partition cannot be split along the specified high bound
ORA-02149: Specified partition does not exist",EBS MFG,EBS - Value Chain Planning
ME$EBS_MFG_VCP_PLAN_PARTITIONS_IN_ALL_TAB_PARTITIONS_NOT_IN_MSC,"select partition_number partition_number, partition_type partition_type, table_name table_name, PARTITION_NAME PARTITION_NAME from (
select distinct substr(partition_name,instr(partition_name,'_',-1,1)+1) partition_number, DECODE(INSTR(partition_name,'__'),0,'PLAN','INST') partition_type,
table_name,
PARTITION_NAME
from all_tab_partitions
where table_name like 'MSC_%'
AND table_name not like 'MSC%F'
and partition_name not like ('ST_%')
and table_name NOT IN ('MSC_APCC_PEG_ITEM_D','MSC_APCC_ITEM_D','MSC_DEMANDS_CUSTOM')
and DECODE(INSTR(partition_name,'__'),0,'PLAN','INST') = 'PLAN'
and TO_NUMBER(substr(partition_name,instr(partition_name,'_',-1,1)+1)) != ALL(select distinct PLAN_ID from msc_plan_partitions)
and substr(partition_name,instr(partition_name,'_',-1,1)+1) NOT IN ('0','999999'))
where rownum = 1",2436111.1,"Symptom
When running the following SQL, we've noticed that we have Plan Partitions information in the ALL_TAB_PARTITIONS table that does not exist in MSC_PLAN_PARTITIONS:

select distinct substr(partition_name,instr(partition_name,'_',-1,1)+1) ""Partition Number"", DECODE(INSTR(partition_name,'__'),0,'PLAN','INST') ""Partition Type"",
table_name,
PARTITION_NAME
from all_tab_partitions
where table_name like 'MSC_%'
AND table_name not like 'MSC%F'
and partition_name not like ('ST_%')
and table_name NOT IN ('MSC_APCC_PEG_ITEM_D','MSC_APCC_ITEM_D','MSC_DEMANDS_CUSTOM')
and table_name NOT LIKE ('MSC%F')
and DECODE(INSTR(partition_name,'__'),0,'PLAN','INST') = 'PLAN'
and TO_NUMBER(substr(partition_name,instr(partition_name,'_',-1,1)+1)) != ALL(select distinct PLAN_ID from msc_plan_partitions)
and substr(partition_name,instr(partition_name,'_',-1,1)+1) NOT IN ('0','999999');

Cause
Plan Partition Corruption

Solution
To clean up the Plan Partition corruption, perform the following steps:

1. On your VCP destination instance, run the Drop Partition program for the Partition(s) Listed In The SQL output above

NOTE: One must be careful to NEVER EVER drop plan partition _0 (that is an underscore zero) because that partition name can be referenced by the partition altering commands, so if it is missing, the alteration can fail.

Example:
Advanced Supply Chain Planner -> Other -> Request -> Submit a Request -> Single Request
Search for ""Drop Partition""
Parameters:
partition_num: Partition_Number_From_SQL_Results_Above
plan: Yes (When the Plan parameter is Yes, you are dropping the corresponding plan partition.)

2. Repeat the steps for each plan partition listed in the SQL output above.",MSC,Plan Partition Corruption,There are Plan Partitions that exist in ALL_TAB_PARTITIONS but do not exist in MSC_PLAN_PARTITIONS,2,Oracle Advanced Supply Chain Planning,COLLECTIONS,PART,WEEK,SAT,Manufacturing Planning and Forecasting / Demand to Build / Forecast to Plan,Plan Partition corruption,EBS MFG,EBS - Value Chain Planning
ME$EBS_MFG_VCP_MRP_SEQUENCE_CHECK,"SELECT OWNER OWNER,
  SEQUENCE_NAME SEQUENCE_NAME,
  MAX_VALUE_ALLOWED MAX_VALUE_ALLOWED,
  CURRENT_VALUE CURRENT_VALUE,
  NUMBER_OF_VALUES_AVAILABLE NUMBER_OF_VALUES_AVAILABLE
from
(SELECT sequence_owner OWNER,
  sequence_name SEQUENCE_NAME,
  max_value MAX_VALUE_ALLOWED,
  last_number CURRENT_VALUE,
  (MAX_VALUE - LAST_NUMBER) NUMBER_OF_VALUES_AVAILABLE 
FROM all_sequences
WHERE sequence_name IN ('MRP_GROSS_REQUIREMENTS_S','MRP_SCHEDULE_DATES_S','MRP_FULL_PEGGING_S', 'MRP_FORECAST_DATES_S','MRP_AVAILABLE_TO_PROMISE_S','MRP_EXCEPTION_DETAILS_S', 'CRP_RESOURCE_PLAN_S','CRP_RESOURCE_HOURS_S')
AND last_number  > 1947483647)",2341211.1,"This sensor monitors 8 sequences.  Details of each sequence including relevant MOS note is below:

MRP_GROSS_REQUIREMENTS_S
MRP_SCHEDULE_DATES_S
MRP_FULL_PEGGING_S
MRP_FORECAST_DATES_S
MRP_AVAILABLE_TO_PROMISE_S
MRP_EXCEPTION_DETAILS_S
CRP_RESOURCE_PLAN_S
CRP_RESOURCE_HOURS_S

Please see [2341211.1]Monitoring Services: Sequences in MRP/CRP Are Approaching MAX_VALUE And Need To Be Reset To Avoid Errors in MRP Applications",MSC,MRP Sequence Check detected sequence in need of maintenance,Sequences reported by this SQL must have maintenance conducted to avoid errors in the future.,2,Oracle Advanced Supply Chain Planning,INS,DBS,WEEK,SAT,Manufacturing Planning and Forecasting / Demand to Build / Forecast to Plan,"Sequences reported by this SQL must have maintenance conducted to avoid errors in the future.

IF MAX_VALUE_ALLOWED for the sequence is exceeded then the processes using the sequence will fail – potentially causing SEV 1 Production Down conditions.
With warning ahead of time, the corrective steps become maintenance activities that can be executed under normal operating conditions to avoid Production down emergency conditions.

This can be a recurring maintenance activity depending on customers usage of various processes in MRP/ASCP applications. 
We have seen these conditions occur as often as every 2 years or take as long as 10 or more years to occur.",EBS MFG,EBS - Value Chain Planning
ME$EBS_MFG_VCP_CALENDAR_START_AND_END_DATE_CHECK,"select Start_date Start_date, End_date End_date, Code Code, ID_inst ID_inst
from (select min(calendar_date) Start_date,
max(calendar_date) End_date,
calendar_code Code,
sr_instance_id ID_inst
from msc_calendar_dates
where calendar_end_date < (SYSDATE + (365*7))
or calendar_start_date > (SYSDATE - (365*2))
group by calendar_code, sr_instance_id
order by calendar_code)",2433522.1,"Symptom
During the ASCP Plan run, Memory Based Planner fails with a Signal 6, Signal 9, or Signal 11 error
OR
During the ASCP Plan run, Memory Based Planner fails with:

Calendar problem : mrlass_add_safety_stock: 2455149 2455149 86
APP-MRP-22064: An internal error has occurred (mrlass_add_safety_stock, 22)

Cause
 Calendars are not extended far enough into the past and/or they are not extend far enough into the future

Solution
Any calendars that have are not extended properly may cause errors or output issues in planning or ATP.  We recommend that you extend your calendars at least 7 years into the future and at least 2 years into the past.

1. In the source ERP instance use responsibility: Bill of Materials

2. Navigate to BOM -> Setup -> Calendars

3. Query the org calendar(s) that is not extended properly (see the SQL results above)
Rebuild the calendar after extending it properly (Tools/Build from the toolbar)

Make sure the concurrent request completes successfully

4. Rerun data collections to pick up the changes

5. Rerun the ASCP plan",MSC,MSCNEW / MSCONEW Failing with Signal xx or APP-MRP-22064 errors or Plan Output incorrect,MSCNEW / MSCONEW Failing with Signal xx or APP-MRP-22064 errors and/or Plan Output is not correct,2,Oracle Advanced Supply Chain Planning,MBP,ERR,WEEK,SAT,Manufacturing Planning and Forecasting / Demand to Build / Forecast to Plan,"Incorrect Plan Output, Signal errors in Memory Based Planner, or APP-MRP-22064 MRLASS_ADD_SAFETY_STOCK error in Memory Based Planner",EBS MFG,EBS - Value Chain Planning
ME$EBS_FIN_FA_DEPRECIATION_ERROR_STATUS_CHECK,"Select bk.book_type_code book_type_code, bk.book_class book_class, bk.deprn_status deprn_status, bk.mass_request_id mass_request_id, bk.deprn_request_id deprn_request_id
from fa_book_controls bk
where bk.deprn_status = 'E'
and rownum < 1000
order by bk.book_type_code",2353238.1,"SYMPTOMS
============
When running depreciation, the following error message appears in the form:

Error
----------------
APP-OFA-48397 Program exited with errors
unable to get the concurrent request status using procedure
FND_CURRENT.GET_REQUEST_STATUS

Module CHECK_BOOK_STATUS ended with error

Steps
----------------
Navigation: Asset Responsibility -> Depreciation -> Run Depreciation


CAUSE
============
The DEPRN_STATUS in the FA_BOOK_CONTROLS table was incorrectly set to 'S' after a failed depreciation run.


SOLUTION
============
1) Check the status of the last depreciation run in the book:
select book_type_code, deprn_status, mass_request_id, deprn_request_id from fa_book_controls where book_type_code = '&book';

If deprn_status = 'E' (Error), resubmit Depreciation without closing the period. 
If deprn_status = 'S' (Submitted)

2) UPDATE fa_book_controls SET mass_request_id = NULL, deprn_request_id = NULL, deprn_status = 'E' WHERE book_type_code = &book; COMMIT;

3) (optional) If Multi Reporting Currency (MRC) is configured, check the status of the MRC book:
SQL> SELECT book_type_code, deprn_status, deprn_request_id, mass_request_id FROM fa_mc_book_controls WHERE book_type_code = &mrc_book;

SQL> UPDATE fa_mc_book_controls SET mass_request_id = NULL, deprn_request_id = NULL, deprn_status = 'E' WHERE book_type_code = &mrc_book; COMMIT;

4) Resubmit depreciation.

5) If deprn_status ='R' (Running), please log a Service Request with Oracle Support Services to investigate the issue.

For reference please see this note: Depreciation (FADEPR) Errors With APP-OFA-48397 'Program exited with errors' (Doc ID 567038.1)",OFA,Books found with a depreciation status of Error.,Asset Book(s) depreciation status shows Error. Check the error before resubmitting depreciation.,2,Oracle Assets,DEPRN,DEP,WEEK,SAT,Accounting to Financial Reports: Period Close,Resolving depreciation errors prior to month end allows for a smoother period close.,EBS Financials,EBS - Fixed Assets
