Name,Recurrence Pattern Unit,Recurrence Pattern Value,Start Hour
EBS Sensor: FIN AR Found Receivables AAD with a status of Invalid Not Validated or Validating - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Approved Invoice Distributions Missing ACCOUNTING EVENT ID - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Orphan Distribution in Subledger Accounting - Weekly,WEEK,SAT,1
EBS Sensor: CRM SC SFM Event Queue Thread Number parameter not set to 1 - Daily,DAY,1,1
EBS Sensor: FIN AP Invoice with Orphan Accounting Event - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Payment with Orphan Accounting Event - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Invoice with incorrect data in payment schedules or payment fields - Weekly,WEEK,SAT,1
EBS Sensor: HCM PAY Invalid balances - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Invoices which have not been encumbered because the encumbrance accounting hold was released - Weekly,WEEK,SAT,12
EBS Sensor: FIN AP Tax distribution to always remain in an Unaccounted state - Weekly,WEEK,SAT,12
EBS Sensor: FIN AP Tax distributions missing PREPAY DISTRIBUTION ID values - Weekly,WEEK,SAT,12
EBS Sensor: FIN GL Incorrect Program Incompatibilities - Weekly,WEEK,SAT,1
EBS Sensor: FIN GL Duplicate rows in the GL BALANCES table - Weekly,WEEK,SAT,1
EBS Sensor: FIN GL Duplicate rows in the GL CODE COMBINATIONS table - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Duplicated dropship sources - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM WorkFlow Jobs in Errored Status - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Closed Sales Order Lines with pending Workflow Activity Details - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Delivery Trip Stop Actual Ship Date Mismatch - Weekly,WEEK,SAT,1
EBS Sensor: MFG PO Difference between BPA Description and iProcurement Item Description - Daily,DAY,1,1
EBS Sensor: MFG PO Requisition Line Description is Different than the BPA Line Description - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Received RMA Lines not progressing to Fulfilled - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Unaccounted accounting event having event date in closed period - Weekly,WEEK,SAT,1
EBS Sensor: MFG PO Requisitions sourced to Blanket or Contract with issue - Daily,DAY,1,1
EBS Sensor: MFG PO Requisition with Blankets that are approaching total agreed amount - Daily,DAY,1,1
EBS Sensor: MFG OM Linking IDs Top or LinkTo or ATO in each row shown is broken - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Incorrect accounting of payments because of wrong final payment rounding - Weekly,WEEK,SAT,12
EBS Sensor: FIN AR Receipts failing with ORA 01476 error - Weekly,WEEK,SAT,1
EBS Sensor: FIN AR Identified orphan XLA records for receipts - Weekly,WEEK,SAT,1
EBS Sensor: FIN AR Receipt has GL Date with Time Stamp - Weekly,WEEK,SAT,1
EBS Sensor: FIN AR Identified orphan XLA records for transactions - Weekly,WEEK,SAT,1
EBS Sensor: FIN AR Transaction has negative exchange rate - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Model Components which are Remnants but not flagged as Details - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Models in Status Create Config but Config Item already exists - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Unique Tax Record - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Payment adjustment events are accounted with incorrect amounts - Weekly,WEEK,SAT,12
EBS Sensor: MFG OM Open Order Lines Where Delivery Details Are Missing - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Open SO Headers Where WF is Initiated But Not Started - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Open SO Headers where Workflow is Missing or Closed - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Open SO Headers with Pending WF Flow but no Open Lines - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Open SO Lines where Workflow is Missing or Closed - Weekly,WEEK,SAT,1
EBS Sensor: MFG VCP Plan Partition Corruption - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Received Dropship Lines Stuck in Awaiting Receipt - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Released Delivery Details where Move Order is Closed - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Cancelled Dropship Lines have associated open PO Lines - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Cancelled or Closed SO Headers with Open Lines - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Model Lines Cancelled but where at least one Child Line is not Cancelled - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Cancelled Sales Orders with an improperly set Open Flag - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Checks with Missing Incorrect References Detected - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Prepayment apply or unapply Event not getting Accounted - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Expired Pricing Entities exist - Daily,DAY,1,1
EBS Sensor: MFG PM GEM5 CMPNT COST ID S sequence created with greater value than 21474836647 - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Prepayment event incorrectly accounted - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Application Accounting Definitions AAD found with invalid status - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Payment accounting events with incorrect accounting hold status - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Amounts or base amounts are out of synch between Payables and EBtax - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Sales Order Lines with improperly set Cancelled and Open Flags - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Closed Sales Orders with pending Workflow Activity Details - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Invoices with duplicate AWT distributions created during payment - Weekly,WEEK,SAT,12
EBS Sensor: FIN AP Upgraded payments with missing records in XLA DISTRIBUTION LINKS - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Reissued Check Accounted Incorrectly - Weekly,WEEK,SAT,1
EBS Sensor: MFG PO Ship to org id in shipments not equal to Destination org id in distributions - Daily,DAY,1,1
EBS Sensor: MFG PO Purchase Order Ship To Organization Does Not Match Distribution - Daily,DAY,1,1
EBS Sensor: MFG OM Booked Dropship Lines With Null Scheduled Ship Dates - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM WSH NEW DELIVERIES S sequence Max Value - Weekly,WEEK,SUN,1
EBS Sensor: FIN AP Posted Flags are Incorrect for Accounted Payments - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Invoice accounting events with incorrect accounting hold status - Weekly,WEEK,SAT,1
EBS Sensor: MFG VCP MSCANAPP ORA 20000 or MSCCRPAR ORA 02149 ORA 014074 or MSCSDW ORA 02149 - Daily,DAY,1,1
EBS Sensor: FIN AP Posted Flags are Incorrect for Accounted Invoices - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP LOW IMPACT or INFREQUENT issues on checks detected - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Accounting Fails Due to Missing Liability Account on Invoice Header - Weekly,WEEK,SAT,1
EBS Sensor: FIN GL Posting program is failing for several batches with Error3 - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Multiple Entities Created for Payments - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP AWT Distributions Missing OR Incorrect AWT RELATED ID - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Unaccounted invoices accounting event having event date in closed period - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Orphan Checks another check exists with the same check number - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Upgraded invoices with missing records in XLA DISTRIBUTION LINKS - Weekly,WEEK,SAT,1
EBS Sensor: MFG PM Stuck Transactions found in MMTT or MTI tables - Weekly,WEEK,SAT,1
EBS Sensor: FIN FA Books found with a depreciation status of Error - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Invoice data integrity issues exist - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Orphan Bank Accounts Detected - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Invoice Distribution Line exist that are not Reversed correctly when Invoice Line Discarded - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Invoice with issue in amounts or base amounts found - Weekly,WEEK,SAT,1
EBS Sensor: FIN AP Prepayment Accounted for Multiple Times the Prepayment amount - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Ship Set stuck Part of Set Shipped Part of Set Not Shipped - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Shipped Delivery Details Not Eligible for OM INV Interfacing - Weekly,WEEK,SAT,1
EBS Sensor: MFG OM Lines In OMERROR found - Weekly,WEEK,SAT,1
